pergunta,resposta
Antes de liderar a maior rebelião de escravos da Roma Antiga o que foi Espártaco?,Um gladiador
Ashoka o Grande foi o Rei de que reino indiano antigo?,Maurya
Durante a Guerra de Troia que guerreiro grego matou Heitor?,Aquiles
Que guerra foi lutada entre as casas britânicas de Lancaster e York pelo trono da Inglaterra?,As Guerras das Rosas
Qual é o comprimento de uma maratona em quilômetros?,40 km
Poe que traços vantajosos são mais prováveis de serem passados aos descendentes?,Pois são mais prováveis de sobreviver e se reproduzir
Que planeta no sistema solar gira mais rápido?,Júpiter
Para que são usados os Livros de Alianças?,Para atualizar o castelo
Qual dos seguintes comandantes é excelente em atacar cidades inimigas?,Júlio César
Quem elaborou a ideia do Cavalo de Troia? Quem venceu a Guerra de Troia?,Odisseu; Os gregos
Que parte do cérebro o álcool afetará?,O cerebelo
Qual dos seguintes descreve um monoteísta?,Alguém que adora um deus
Qual dos seguintes não é um objetivo da mitologia grega?,Oferecer um caminho para a salvação
Óculos são compostos de quartzo areia e o quê?,Petróleo
Qual dos seguintes foi elogiado pelos seus conterrâneos como melhor e mais honesto da Grécia Antiga dos representantes democráticos?,Péricles
Os ventos em forma de cone dos tornados são notáveis por fazer o quê?,Girar
Quem fundou o Reino de Astúrias?,Pelágio
Na história russa que apelido recebeu o primeiro Tzar pela sua tirania?,Ivan o Terrível
Qual dos seguintes é um termo para um material valioso de origem geológica que pode ser extraído da terra?,Recursos naturais
Que comandante foi conhecido como Rosa Céltica?,Boudica
Com quem Minamoto no Yoshitsune levantou um exército para lutar contra Taira no Kiyomori?,Minamoto no Yoritomo
Qual é reconhecido pelo Livro Guinness de Recordes como tendo a maior circulação cumulativa de quadrinho de autor único?,One Piece
Qual é o apelido de Júlio César?,O Rei sem coroa
Que civilização foi a primeira a ter banheiros públicos?,Roma Antiga
Qual dos seguintes NÃO dá Créditos Individuais?,Dar recursos aos aliados
Qual das seguintes NÃO é uma das habilidades de El Cid?,Cavalaria
Qual dos seguintes NÃO dá EXP dos Comandantes?,Atacar outros jogadores
Quanto mais variação genética uma população tiver mais provável é que alguns indivíduos faraó o quê?,Sobreviver
Qual dos seguintes comandantes foi parte da Batalha dos Desfiladeiros Vermelhos?,Cao Cao
Na mitologia nórdica quem brandiu a arma Gungnir?,Odin
Qual dos seguintes recursos não pode ser encontrado nos seus jeans?,Chumbo
Quem matou Heitor e como Aquiles morre?,Aquiles; Flecha no calcanhar
Que comandante tem o apelido de Hidromel da Morte?,Sárka
Que físico grego antigo descobriu famosamente o conceito de empuxo enquanto tomava um banho?,Arquimedes
Que físico grego antigo descobriu o conceito de flutuabilidade enquanto tomava um banho?,Arquimedes
Quando Aquiles se recusou a lutar Pátroclo coloca a armadura de Aquiles luta contra os troianos e morre. Quem matou Pátroclo?,Heitor
Quais desses dois foram criados por Leonardo da Vinci?,A Última Ceia Mona Lisa
Qual desses é usado para reunir tropas da Aliança?,Castelo
Que comandante é conhecido como Barba Roxa?,Frederico I
A economia egípcia foi principalmente baseada em quê?,Agricultura
Qual das seguintes NÃO é uma das habilidades passivas de Pelágio?,Carregar
Qual é o nome do fenômeno pelo qual os organismos que são melhor adaptados ao ambiente sobrevivem para passar os seus traços aos seus descendentes?,Seleção natural
Que tipo de unidade é mais forte contra a infantaria?,Arquearia
As duas capitais da Áustria-Hungria eram Budapeste e que outra cidade?,Viena
Que cidade recebeu as Olimpíadas de 2000?,Sydney
Que tipo de unidade é mais forte que a cavalaria?,Infantaria
O experimento da Torre de Pisa Inclinada de Galileu derrubou uma teoria de que cientista grego antigo?,Aristóteles
Qual dos seguintes não é uma característica da arte renascentista?,Plano/Bidimensional
Dos 12 animais do Zodíaco Chinês qual vem primeiro?,Rato
Durante a Renascença por que Florença foi significante?,Local de nascimento e símbolo da Renascença
Que cidade-estado da Grécia Antiga era conhecida pelo seu treinamento militar brutal e bravura?,Esparta
Qual dos seguintes não é um motivo pelos quais a Renascença começou na Itália?,A Peste Negra não atingiu a Itália por causa dos Alpes
A Renascença foi um renascimento de quê?,Cultura clássica
Que comandante tem o apelido de Pai da Conquista?,Baybars
Que comandante é conhecido como Senhor da Guerra da Kamakura?,Minamoto no Yoshitune
Que bebida foi inventada pelo farmacêutico americano John Pemberton?,Coca-cola
Para que são usadas Flechas de Resistência?,Para atualizar a Torre de Vigia
